200, NaN, 0.0008072697])
238, NaN, 0.0010765306])
283, NaN, 0.0014574803999999998])
336, NaN, 0.0019595908])
399, NaN, 0.0026335413])
474, NaN, 0.0034819751000000005])
564, NaN, 0.004624066600000001])
670, NaN, 0.0060077168])
796, NaN, 0.007789831499999999])
946, NaN, 0.0101504151])
1125, NaN, 0.0130034132])
1337, NaN, 0.016579975099999998])
1589, NaN, 0.0210464341])
1888, NaN, 0.026971048600000002])
2244, NaN, 0.03323788009999999])
2667, NaN, 0.041648268200000005])
3170, NaN, 0.05352303520000001])
3767, NaN, 0.0637261723])
4477, NaN, 0.07758089399999998])
5321, NaN, 0.0958150878])
6325, NaN, 0.11751845360000002])
7517, NaN, 0.1413089523])
8934, NaN, 0.1709168055])
10618, NaN, 0.20666379610000002])
12619, NaN, 0.2519697053])
14998, NaN, 0.3073064403])
17825, NaN, 0.37429133940000003])
21185, NaN, 0.4536439207])
25179, NaN, 0.5530678986])
29925, NaN, 0.6895957102000001])
35566, NaN, 0.8489974376000001])
42270, NaN, 1.0380263957000002])
50238, NaN, 1.3334931612000003])
59708, NaN, 1.6370103943])
70963, NaN, 1.9905777467])
84339, NaN, 2.4345773589000004])
100237, NaN, 2.9487776285000002])
119132, NaN, 3.5618910017000003])
141589, NaN, 4.3535420767])
168279, NaN, 5.5469240767])
200000, NaN, 9.2770259355])
237700, NaN, 13.317346973300001])
282508, NaN, 9.6850985319])
335761, NaN, 11.0768955328])
399052, NaN, 18.963905913300003])
474275, NaN, 28.5809030763])
563677, NaN, 36.4310883533])
669931, NaN, 54.70862667189999])
796214, NaN, 72.24514001989999])
946303, NaN, 59.221976411])
